epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67644,1.73122,3.71706,2.40769,1.9334,0.39077,0.53111,0.43375,0.26164,0.30471,0.42333,0.31474,0.14607,1.63393,3.73671,4.11794,1.53576,0.00053344,0.00053344,0.00053344
2,12.1207,1.49204,2.6808,1.59897,1.66414,0.55663,0.62222,0.55326,0.29149,0.49058,0.58889,0.49761,0.28024,1.47942,5.39604,3.86424,1.68681,0.00107282,0.00107282,0.00107282
3,16.4335,1.53558,2.49315,1.46643,1.64344,0.44213,0.41,0.4254,0.22434,0.33705,0.46222,0.32506,0.12671,1.67793,10.2874,1.8843,1.92481,0.00160131,0.00160131,0.00160131
4,20.6584,1.49014,2.60809,1.47166,1.62818,0.57773,0.5662,0.60906,0.3017,0.38681,0.63115,0.54802,0.27954,1.50103,5.63922,3.37896,1.72728,0.00161749,0.00161749,0.00161749
5,24.9418,1.45837,2.44524,1.31615,1.59556,0.5728,0.49667,0.56143,0.3274,0.54607,0.46889,0.49329,0.2412,1.40566,3.88542,1.90523,1.57741,0.00160099,0.00160099,0.00160099
6,29.3873,1.39641,2.16411,1.20594,1.55523,0.58643,0.79333,0.67995,0.39545,0.62261,0.78401,0.73011,0.35244,1.37781,2.45678,1.47071,1.46105,0.00158448,0.00158448,0.00158448
7,33.9542,1.47632,2.18936,1.21131,1.59592,0.82586,0.72229,0.79611,0.50773,0.80282,0.69171,0.76766,0.44371,1.25249,2.15891,1.06942,1.32308,0.00156798,0.00156798,0.00156798
8,38.5855,1.3013,1.90965,1.0667,1.4943,0.78585,0.71,0.77506,0.48429,0.8339,0.75921,0.81351,0.48032,1.12588,1.78879,1.10418,1.28188,0.00155148,0.00155148,0.00155148
9,43.1405,1.37314,1.91734,1.07234,1.5125,0.71405,0.68563,0.72769,0.44219,0.77416,0.71,0.78206,0.49186,1.36227,1.95515,1.19507,1.47026,0.00153497,0.00153497,0.00153497
10,47.7577,1.20201,1.66796,0.95275,1.40241,0.85899,0.83025,0.88369,0.62617,0.85326,0.82469,0.88733,0.58295,1.05214,1.56036,0.83858,1.18296,0.00151847,0.00151847,0.00151847
11,52.3793,1.19819,1.60723,0.92868,1.40672,0.90374,0.79667,0.88869,0.58706,0.91539,0.80059,0.89132,0.61518,1.14325,1.47978,0.83993,1.24027,0.00150197,0.00150197,0.00150197
12,56.941,1.22233,1.66076,0.93658,1.3847,0.87638,0.7934,0.86961,0.63211,0.86274,0.79351,0.8541,0.56846,1.0416,1.68615,0.83858,1.16627,0.00148546,0.00148546,0.00148546
13,61.4272,1.21777,1.89338,0.94698,1.41655,0.86031,0.81152,0.85417,0.59929,0.87432,0.7836,0.82804,0.50726,1.04636,1.94814,0.85136,1.14682,0.00146896,0.00146896,0.00146896
14,65.8936,1.08893,1.74584,0.90541,1.34505,0.65212,0.58854,0.69009,0.47193,0.73868,0.51989,0.64592,0.38957,1.17761,2.55934,1.06229,1.25071,0.00145246,0.00145246,0.00145246
15,70.4019,1.14491,1.78269,0.90485,1.38075,0.76153,0.76623,0.80968,0.53593,0.78801,0.79831,0.83499,0.48919,1.15509,1.85962,0.97423,1.25184,0.00143595,0.00143595,0.00143595
16,74.8851,1.11581,1.61603,0.9236,1.35981,0.88954,0.73066,0.86633,0.62824,0.90536,0.74306,0.87852,0.61474,0.95757,1.47209,0.85772,1.1427,0.00141945,0.00141945,0.00141945
17,79.4679,1.08694,1.56866,0.8736,1.31233,0.90799,0.79222,0.89322,0.62508,0.91298,0.78106,0.87837,0.53933,1.03902,2.51679,0.73618,1.18978,0.00140295,0.00140295,0.00140295
18,84.0407,1.06504,1.45077,0.79083,1.28918,0.94013,0.8236,0.90801,0.64966,0.94579,0.82874,0.9185,0.62513,1.0271,1.35038,0.69407,1.12144,0.00138644,0.00138644,0.00138644
19,88.6311,1.07328,1.45257,0.79298,1.30659,0.87729,0.7772,0.88267,0.65474,0.88413,0.79451,0.89631,0.62366,0.89507,1.39193,0.73042,1.08387,0.00136994,0.00136994,0.00136994
20,93.1156,1.05665,1.41131,0.79608,1.3088,0.82121,0.85111,0.88737,0.63759,0.86664,0.88111,0.91522,0.65078,0.9848,1.32898,0.69985,1.09483,0.00135344,0.00135344,0.00135344
21,97.2949,1.0613,1.47393,0.79006,1.31708,0.85257,0.84556,0.88106,0.63216,0.85554,0.84866,0.87428,0.5917,0.9489,1.43267,0.74303,1.12384,0.00133693,0.00133693,0.00133693
22,101.404,1.03265,1.42684,0.77743,1.28526,0.88442,0.77556,0.86162,0.6442,0.8888,0.82089,0.88127,0.67546,0.90929,1.30277,0.66974,1.09252,0.00132043,0.00132043,0.00132043
23,105.605,0.98466,1.28712,0.7369,1.24658,0.84852,0.82322,0.86336,0.60998,0.88593,0.84679,0.89653,0.5924,0.97546,1.40755,0.76112,1.12679,0.00130393,0.00130393,0.00130393
24,109.824,0.97102,1.24583,0.74397,1.22445,0.90314,0.85222,0.92344,0.70008,0.91473,0.86894,0.92898,0.65301,0.85707,1.22525,0.58805,1.04819,0.00128742,0.00128742,0.00128742
25,114.075,0.92884,1.19862,0.70548,1.21709,0.93441,0.78151,0.91422,0.64732,0.96477,0.80718,0.92756,0.65336,0.97115,1.16172,0.71518,1.13061,0.00127092,0.00127092,0.00127092
26,118.307,0.98631,1.18779,0.71268,1.23818,0.93463,0.826,0.9205,0.65755,0.92581,0.88275,0.93108,0.70641,1.02949,1.01056,0.63558,1.14516,0.00125442,0.00125442,0.00125442
27,122.54,0.95638,1.16362,0.681,1.23773,0.87984,0.88202,0.91855,0.71242,0.90153,0.90948,0.93251,0.71344,0.84415,1.01558,0.60148,1.03034,0.00123791,0.00123791,0.00123791
28,126.758,0.91373,1.14356,0.66588,1.20345,0.87846,0.8685,0.93362,0.73608,0.88365,0.87406,0.92645,0.70448,0.85082,1.01309,0.57373,1.0451,0.00122141,0.00122141,0.00122141
